銘柄名,日付,終値,vol_ratio_3_7,vol_ratio_5_5,vol_ratio_5_10,vol_ratio_7_7,vol_ratio_7_14,vol_ratio_10_10,price_vs_ma25,price_vs_ma75,ma5_gt_ma25,max_daily_ret_5d,cum_ret_5d,bw_recent,bw_prior,bw_expanding,bw_prior_percentile,slope_25
JX金属,2025-08-08,996.1,4.884074151165945,3.2498180116472546,2.8099149867021835,2.2549857243639475,2.518920264094557,1.9414587218071904,1.1449109449854258,1.215936445622824,True,0.10169491525423724,0.12604567035948455,0.16292966987155305,0.13103127539157536,True,0.7166666666666667,24.41999999999996
JX金属,2025-08-12,996.0,1.1964422396448158,3.509039824888105,3.0244329621129995,2.1233291969190597,2.576862178875964,2.207494629898868,1.1355500120851707,1.2123808920981005,True,0.10169491525423724,0.14535418583256665,0.18699978852707577,0.1272953678750836,True,0.6666666666666666,29.120000000000005
JX金属,2025-08-13,1005.0,0.9884384395980066,3.3928688451341933,3.0971829453991733,2.5182561340730967,2.828830027801431,2.3581229422609824,1.135547028595447,1.2197924370441455,True,0.10169491525423724,0.13559322033898313,0.21437464648692103,0.12557713574602392,True,0.6333333333333333,33.927999999999884
JX金属,2025-08-14,1008.0,0.8332736806132705,0.9457457673870744,1.324988728603931,3.0614817319037373,3.0704562167745415,2.403828678091402,1.1295383236216943,1.2196833663260909,True,0.014358452138492961,0.03384615384615386,0.2360706488794487,0.13150429928252844,True,0.9833333333333333,35.21199999999999
JX金属,2025-08-15,1084.0,1.1783129969047805,1.0246919058655934,1.4796889697636877,3.786321834730448,3.478379720319988,2.5735916022585275,1.2008578822361657,1.305975843462812,True,0.07539682539682535,0.10386965376782076,0.25938284453366384,0.14349036295118384,True,1.0,38.78800000000001
JX金属,2025-08-18,1116.0,1.1663875785035134,0.8809609523123815,1.3473342917444102,1.3482139040481043,1.7497535502280994,2.642670184652086,1.2214716325252941,1.337951958413192,True,0.07539682539682535,0.12036944081919487,0.28472817828257224,0.16292966987155305,True,1.0,43.62800000000004
JX金属,2025-08-19,1130.5,1.064360864499081,0.8538389061542787,1.3289546520288775,1.1782781029902385,1.5986376159195406,2.803405747110254,1.2221780174445505,1.3481015677171113,True,0.07539682539682535,0.13504016064257018,0.31333268689006255,0.18699978852707577,True,1.0,47.879999999999995
サンリオ,2024-07-24,635.8,0.851862594386596,0.9055022470545366,0.7204232667885357,0.8233415295698244,0.7137441903903837,0.6547351580704622,1.0358355435937205,1.139709748659165,True,0.013618074899411914,-0.01852423587527019,0.22593941287429323,0.24235715182643264,False,0.6833333333333333,19.343999999999937
サンリオ,2024-07-25,610.4,1.3449753784424585,1.176655754218081,1.032102492360932,1.0438866262156097,0.8217313784398294,0.7141273589777132,0.9909605693802274,1.093896354634603,True,0.013618074899411914,-0.05540080470442599,0.2178264194855429,0.24096687071553924,False,0.5666666666666667,17.200000000000045
サンリオ,2024-07-26,597.5,1.714659268963037,1.3126990323177121,1.2589505625504915,1.2128157428131268,0.9101657295864668,0.7838585007485812,0.9676677506704844,1.0709804624484676,True,0.0018552875695734272,-0.08778625954198471,0.20754412761324356,0.23895507867941354,False,0.4666666666666667,14.312000000000126
